date,actions,negative_for_ΚΚΕ,negative_for_Κιναλ,negative_for_ΝεαΔημοκρατια,negative_for_Συριζα,positive_for_ΚΚΕ,positive_for_Κιναλ,positive_for_ΝεαΔημοκρατια,positive_for_Συριζα
20220809,654,0.1402446281339862,0.14003310135095642,0.24875863190207903,0.17059778768203682,0.07549969779624108,0.06649441876674962,0.09795406295333933,0.060417671414611546
20220810,1486,0.1304229590903095,0.1299951539943278,0.20851962203768523,0.20965974686035493,0.08531296919294162,0.07165057682553233,0.08829756289227184,0.07614140910657691
20220811,1424,0.14878808066872812,0.10606255213661775,0.24301740290555213,0.19805873093622314,0.0753732389533634,0.057140206508889964,0.10551263969087814,0.06604714819974773
20220812,1532,0.12501360209359255,0.07564190753575553,0.29096491250340634,0.23398943778173226,0.08373572422022675,0.038838615097461796,0.09414695236881966,0.0576688483990052
20220813,1300,0.13538750371513847,0.08678859900460353,0.26670363283023596,0.22972762066161043,0.07760769877032328,0.034592272517716245,0.10740276860842815,0.0617899038919438
20220814,1263,0.12646088902507768,0.05610158359009706,0.2546460505803273,0.2842488611484174,0.060596018005235744,0.03032000529105209,0.09744073471836232,0.09018585764143035
20220815,804,0.12234057913433001,0.0469619389485068,0.2585175879820934,0.26563986871599304,0.07649957719358778,0.029704156688633018,0.12793992127336973,0.07239637006348607
20220816,999,0.11703419955144434,0.06117779487972104,0.24482434834898542,0.2629659207164827,0.07328083745926459,0.03885763012385211,0.12343288524543139,0.07842638367481848
20220817,1342,0.12541392549175714,0.055824984688522934,0.23961605097671834,0.2831705969565879,0.06451178016728643,0.027720593104539355,0.11527268369093993,0.08846938492364799
20220818,1251,0.15260147924582143,0.06045544285446234,0.23902140137310007,0.2533922098015313,0.08332524210059052,0.032647072370317234,0.09863877969727806,0.0799183725568993
20220819,1156,0.1410927858324199,0.06409152105724696,0.2119601011764599,0.2907096800360897,0.07567809591147616,0.03666171391976631,0.1122038542653209,0.06760224780122027
20220820,1515,0.09745029272322966,0.042318997320287224,0.24404978741752986,0.26139822969759907,0.06176021461867961,0.027448918255991828,0.1258194876509041,0.13975407231577852
20220821,1677,0.12834162399269894,0.062066693726930404,0.21082781669003986,0.28017387360818136,0.0750785151488772,0.029817353721955615,0.11852476711859893,0.09516935599271756
20220822,1800,0.15007272875909172,0.05887269481148981,0.26115824298814355,0.24930673355550403,0.07208480166877791,0.0325166828950692,0.10153690951817831,0.07445120580374542
20220823,1580,0.15550176016841696,0.05566073024741471,0.24838735228490547,0.2485666611425757,0.06664411369052073,0.03882241368413365,0.1138266028506047,0.07259036593142802
20220824,1653,0.14272896992280135,0.06008509224907507,0.24996488604097902,0.24444881974239652,0.07811482487013141,0.029876988970282705,0.12041641564564214,0.07436400255869174
20220825,1415,0.1280346806233586,0.08309339173964647,0.257962973147509,0.2643286038394975,0.07270012495916939,0.0349533931954389,0.09238465201127394,0.06654218048410622
20220826,3067,0.122230190998607,0.06903463530320664,0.2573885843407746,0.2947355562602041,0.05758891623603329,0.037975768135998005,0.09350346438356659,0.06754288434160977
20220827,2022,0.1359941046841679,0.08028195929586959,0.2712177462716009,0.2397579672374037,0.06275576927964341,0.042996403927778926,0.08870462085007423,0.07829142845346132
20220828,1488,0.14187469218449447,0.08793249436912365,0.2736502631651325,0.21102893214349655,0.07019257439621253,0.04067075214532001,0.09713226285341561,0.07751802874280453
20220829,1299,0.1486148301383142,0.0925525146659191,0.2631853528500418,0.21454387916627193,0.07798996750292937,0.0394016458825588,0.09727599003924221,0.0664358197547228
20220830,1703,0.14344597298639375,0.07485368610002051,0.2567107652710515,0.24572278573747022,0.07194220856151687,0.036652602507045606,0.10778092739073382,0.06289105144576794
20220831,1560,0.11928271970790182,0.08233517158905358,0.2747912315504788,0.22784112010938262,0.07196826333113229,0.04098556817736004,0.1040045260081898,0.07879139952650109
20220901,1890,0.13293813992622555,0.07540426335932886,0.2634506663283901,0.2266087986170874,0.06491574369681367,0.03949160028027992,0.12161045198370071,0.07558033580817393
20220902,1720,0.18575764427663366,0.11599829904135096,0.1991340507825897,0.18008300026141094,0.05706927714433516,0.09370633036899097,0.11036359263345584,0.05788780549123308
20220903,1303,0.12668793187544947,0.15250931833301398,0.1695573427983526,0.21436543732957314,0.06812986111155755,0.07150376731746613,0.1262724159474501,0.07097392528713721
20220904,1218,0.14692209880155638,0.08779753045407085,0.2260509051555876,0.2422963210023311,0.057292674271119906,0.049939965765751916,0.11218116851666354,0.0775193360329184
20220905,1257,0.13110391463808435,0.06693386556008943,0.2297366495292251,0.24351583576613461,0.09715461868548576,0.04978121031735681,0.11638941299200374,0.06538449251162017
20220906,1138,0.11909683680803325,0.05295696248131192,0.2823858901251517,0.19481998569389136,0.08661257752907194,0.03287005440200004,0.15205513657238545,0.07920255638815453
